admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,doc_id,word,country_predicted,country_conf,continent,lcount
Kericho,-0.273,35.383,KEN,192898,Kericho,A,ADM1,41897,Kericho,KEN,0.9992421865463256,AF,7
Voronezj,51.67204,39.1843,RUS,472045,Voronezh,P,PPLA,43270,Voronezh,RUS,0.9375070929527284,EU,8
Illinois,41.85003,-87.65005,USA,4887398,Chicago,P,PPLA2,43309,Chicago,USA,0.9991698265075684,NA,7
Guangdong,23.37327,113.51219,CHN,1809857,Guangzhou Shi,A,ADM2,43356,Guangzhou,CHN,0.9881994724273682,AS,9
Guangdong,23.5,113.25,CHN,1809935,Guangdong Sheng,A,ADM1,43356,Guangdong,CHN,0.9881994724273682,AS,9
,60.10867,-113.64258,CAN,6251999,Canada,A,PCLI,44302,Canada,CAN,0.99993097782135,NA,6
Arizona,33.44838,-112.07404,USA,5308655,Phoenix,P,PPLA,45298,Phoenix,USA,1.0,NA,7
Illinois,41.85003,-87.65005,USA,4887398,Chicago,P,PPLA2,45298,Chicago,USA,1.0,NA,7
Illinois,40.00032,-89.25036999999998,USA,4896861,Illinois,A,ADM1,45298,Illinois,USA,1.0,NA,8
Beijing,39.91691,116.39706,CHN,2038349,Beijing Shi,A,ADM1,46744,Beijing,CHN,0.999996781349182,AS,7
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,46744,China,CHN,0.9999958276748656,AS,5
,9.0,39.5,ETH,337996,Federal Democratic Republic of Ethiopia,A,PCLI,47367,Ethiopia,ETH,0.9999988079071044,AF,8
Oromiya,8.0,39.0,ETH,444185,Oromiya Region,A,ADM1,47367,Oromia,ETH,0.9999886751174928,AF,6
,-20.0,47.0,MDG,1062947,Republic of Madagascar,A,PCLI,47367,Madagascar,MDG,0.9999760389328004,AF,10
England,51.50853,-0.12574000000000002,GBR,2643743,London,P,PPLC,48539,London,GBR,0.9971505999565125,EU,6
Guangdong,23.5,113.25,CHN,1809935,Guangdong Sheng,A,ADM1,48560,Guangdong,CHN,0.9999812841415404,AS,9
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,48560,China,CHN,0.999981164932251,AS,5
,24.0,121.0,TWN,1668284,Taiwan,A,PCLI,49764,Taiwan,TWN,0.999810516834259,AS,6
,54.75844,-2.69531,GBR,2635167,United Kingdom of Great Britain and Northern Ireland,A,PCLI,50075,United Kingdom,GBR,0.9886788725852966,EU,13
,-25.0,135.0,AUS,2077456,Commonwealth of Australia,A,PCLI,50075,Australia,AUS,0.9999674558639526,OC,9
,-42.0,174.0,NZL,2186224,New Zealand,A,PCLI,50075,New Zealand,NZL,0.927898406982422,OC,10
Basel-City,47.55773,7.593610000000001,CHE,7285161,Basel,A,ADM3,50240,Basel,CHE,0.9991698265075684,EU,5
,47.00016,8.01427,CHE,2658434,Switzerland,A,PCLI,50240,Switzerland,CHE,0.99993097782135,EU,11
,52.25,5.75,NLD,2750405,Kingdom of the Netherlands,A,PCLI,50248,Netherlands,NLD,0.9647448658943176,EU,11
,23.0,-102.0,MEX,3996063,Mexico,A,PCLI,51342,Mexico,MEX,0.9999852180480956,NA,6
,39.76,-98.5,USA,6252001,United States,A,PCLI,51342,United States,USA,0.9785932302474976,NA,12
Sonora,31.30862,-110.94217,MEX,4004886,Nogales,P,PPL,51342,Nogales,MEX,0.999696969985962,NA,7
Arizona,34.5003,-111.50098,USA,5551752,Arizona,A,ADM1,51342,Arizona,USA,0.9785932302474976,NA,7
Guangdong,23.5,113.25,CHN,1809935,Guangdong Sheng,A,ADM1,51929,Guangdong,CHN,0.999996781349182,AS,9
,35.0,105.0,CHN,1814991,People’s Republic of China,A,PCLI,51929,China,CHN,0.9999958276748656,AS,5
Florida,27.94752,-82.45843,USA,4174757,Tampa,P,PPLA2,52331,Tampa,USA,0.9647448658943176,NA,5
California,38.55294,-121.45534,USA,5395503,Shriners Hospitals for Children Northern California,S,HSP,52877,Northern California,USA,0.9881994724273682,NA,18
Oregon,44.85407,-123.23933,USA,9172237,"Valsetz Dining Hall, Western Oregon University",S,BLDG,52877,Western Oregon,USA,0.9881994724273682,NA,13
,-25.0,135.0,AUS,2077456,Commonwealth of Australia,A,PCLI,53274,Australia,AUS,0.9999998807907104,OC,9
,-30.0,-71.0,CHL,3895114,Republic of Chile,A,PCLI,54293,Chile,CHL,0.99993097782135,SA,5
Santiago Metropolitan,-33.45694,-70.64827,CHL,3871336,Santiago,P,PPLC,54293,Santiago,CHL,0.9975010752677916,SA,8
Antioquia,6.25,-75.58333,COL,3674954,Medellín,A,ADM2,54527,Medellin,COL,0.9971505999565125,SA,8
Atlántico,4.0,-73.25,COL,3686110,Colombia,A,PCLI,54527,Colombia,COL,0.999810516834259,SA,8
