index,doc_id,High,Low,Lower-middle,Upper-middle,Health system demand,All-cause mortality,Respiratory,Chronic,Infectious disease,WASH,Food & nutrition,Maternal & child health,Mental health,Occupational health & injury
7376,3365845,0,0,0,1,0.02480748969253443,0.0,0.0026394365401961983,0.004510065167685312,0.0015003211775637911,0.0,0.0,0.0,0.0,0.0
7377,3365924,1,0,0,0,0.010718020049325106,0.00746067668140983,0.0010911686918218815,0.0014115206030341772,0.009952313622491974,0.0,0.0021477219861056763,0.0,0.0,5.7571210307952764e-06
7378,3366050,1,0,1,0,0.05051515747381634,0.0,0.009144134599883003,0.0,0.1379839511391088,0.0007393573374245707,0.0,0.00046949492993464046,0.0,0.0
7379,3366106,1,0,0,0,0.05892830063187845,0.003995192476020055,0.0,0.0006248096449586518,0.004180424239666127,0.08300667403990586,0.002212369566223005,0.001798053760835279,0.0004751003369628505,0.0028984450270457436
7380,3366151,1,0,0,0,0.02034245597655541,0.0009033540402750979,0.0,0.0,0.0021630987008556335,0.0,0.0005714790679099182,0.06325296627491306,0.0,0.0
7381,3366208,1,0,0,0,0.003974252843284872,0.0,0.010366503908969878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7382,3366211,1,0,0,0,7.020698328443032e-05,0.003808016953458127,0.061883475772127466,0.0008988811329195341,0.005744049522655381,0.0008735876867149175,0.0,0.0,0.006804192642832172,0.0
7383,3366212,0,0,1,0,0.0066640374935207376,0.02095302564614584,0.0,0.0,0.1861203493106425,0.0003741342807535673,0.03301231101475257,0.0,0.0,0.0
7384,3366309,0,0,0,1,0.03747599899878359,0.0,0.0,0.0,0.0,0.0,0.023471408696107556,0.0,0.001027285281505877,0.0
7385,3366361,0,0,0,1,0.04683569238797204,0.0,0.0,0.0037593961754515265,0.0,0.0,0.0,0.04117715737181076,0.0034456862539012667,0.0
7386,3366497,0,0,0,1,0.08667191744138872,0.005336354832380577,0.04029302025769256,0.022485691032164974,0.015858136047413412,0.0,0.0,0.0,0.0,0.0
7387,3366549,0,0,1,0,0.011370147218593462,0.0,0.0,0.0014192720583853361,0.0033385409843178955,0.014100501780024517,0.012257037086949057,0.052688739439380836,0.0,0.0
7388,3366633,0,0,1,0,0.009367873528436634,0.004694824177853574,0.0,0.0,0.001570798616686221,0.0,0.0,0.0,0.1634003142208796,0.009474268721176989
7389,3366693,0,0,0,1,0.0005717557960319757,0.0,0.0,0.0,0.0027549188521208217,0.0013257080443504644,0.012769288973970477,0.0016401092854019064,0.0,0.019672233015332725
7390,3366812,0,0,0,1,0.013016718282676445,0.0,0.0004987713403196997,0.0062350285457853745,0.2587266392628743,0.0003033985605376738,0.0,0.0,0.0,0.0
7391,3366817,0,0,0,1,0.16904596806543715,0.02262212373720274,0.059480714796716315,0.0,0.05992078888141971,0.0,0.0,0.000490214208427489,0.0,0.0
7392,3366969,0,1,0,0,0.028188724171257316,0.002813818155521012,0.006472060992648488,0.003718215696970687,0.00799563814626828,0.00025087650109013393,0.0,0.0037974714815412953,0.001231520862187949,0.0004937022419594136
7393,3366994,1,0,0,0,0.013116606292741136,0.0016001363930709576,0.0,0.003030013515514139,0.008673292992931004,0.0,0.0,0.0,0.0,0.0
7394,3367070,1,0,0,0,0.012055271268872413,0.0,0.05249412956479599,0.0,0.00477700051367083,0.0,0.0,0.0,0.0,0.0022223563955328235
7395,3367144,0,0,1,0,0.02145705825556897,0.016226029851912877,0.0,0.0,0.02177182373975438,4.132924812297942e-05,0.0032082403901033587,0.0,0.0,0.14609458887742513
7396,3367269,0,0,0,1,0.006117686046379426,0.06224039798741519,0.0,0.0,0.00201432588091713,0.0,0.0,0.0,0.0,0.0017380584889255752
7397,3367393,0,0,1,0,0.017849531074015053,0.0,0.0017718116391746718,0.0,0.01769722231260324,0.0,0.0,0.0,0.0,0.0
7398,3367461,0,0,0,1,0.0005868739706393279,0.08036143643196982,0.15343179251949582,0.0,0.00543770611927155,0.0,0.0,0.007829341874036182,0.0,0.0
7399,3367488,0,0,1,0,0.006362350990222962,0.0,0.007661038143063972,0.0,0.02209134774590385,0.08933171358225395,0.0,0.0011477461417113168,0.0,0.0
7400,3367577,1,0,0,0,0.0,0.0,0.0,0.007164995398256432,4.108686861953913e-05,0.0,0.0,0.0,0.09374293725981174,0.00927413441462456
7401,3367946,0,1,0,0,0.03172075972393682,0.0,0.0,0.0,0.01968802854682391,0.013962034022105043,0.00872626753482914,0.0030644076797786126,0.0017503449314455657,0.00553648988838019
7402,3367996,0,1,1,0,0.0027279465543456234,0.017619635217557265,0.0,0.0,0.012681756158320458,0.03464279698191334,0.005525603105469361,0.02274942141903742,0.0004962022609361415,0.0
7403,3368022,0,0,0,1,0.0,0.0,0.0,0.0,0.0016981005005248758,0.0,0.0,0.0,0.0,0.0
7404,3368100,0,0,0,1,0.0010434738263467803,0.007921852612912518,0.02218028514410132,0.0075550078429930745,0.003986555556917522,0.0,0.0016702370526051162,0.07863091286017701,0.0,0.0
7405,3368130,1,0,0,0,0.0,0.008034975805062475,0.02099867102758236,0.004456082917455957,0.0,0.0,0.0,0.0024490750489730793,0.0,0.0
7406,3368171,0,0,1,0,0.016442512668777352,0.004696312177594284,0.0003904171564197164,0.0,0.025338140453392936,0.0,0.000353904003526431,0.0014427216341332582,0.0021975152717120146,0.0
7407,3368303,0,0,0,1,0.09325889790789363,0.0003426445328049901,0.032073403003014186,0.0,0.023291736574975627,0.0,0.0,0.0,0.0025951670733357682,0.0
7408,3368550,0,0,1,0,0.0,0.0,0.0,0.0,0.09777032263166448,0.0,0.0026131239857331403,0.0,0.0,0.0
7409,3368598,0,0,0,1,0.0,0.0,0.1125723379222328,0.0029208040315164174,8.843185828121661e-05,0.016100888528135848,0.0,0.0,0.0,0.011796396720050983
7410,3368635,1,0,0,0,0.0005355675052946747,0.004468277427239534,0.015826595130520368,0.0071888567132308125,0.0046773346504209706,0.0,0.0,0.0,0.0,0.0024227958363099594
7411,3368641,0,0,0,1,0.0,0.0,0.0,0.0,0.24483529730624276,0.0,0.0,0.008854796160724475,0.0,0.0
7412,3368659,0,0,0,1,0.0071454041498736865,0.0,0.05495554558181597,0.0,0.0,0.0,0.003052663773564076,0.008352592549419979,0.0,0.0
7413,3368962,0,0,0,1,0.009555478133015397,0.0,0.013650697899986077,0.0,0.027696959723130753,0.12446743213577395,0.007000240659959317,0.002285986772523942,0.0,0.0
7414,3368967,0,0,0,1,0.028231402787327164,0.0,0.0006405415546810371,0.0,0.12348442865261072,0.0,0.0,0.0,0.0,0.0
7415,3369006,1,0,0,0,0.00023643754152487454,0.0,0.007717896532807911,0.004484722293874851,0.004192538852462851,0.0008588723968486336,0.0006796857276972489,0.0,0.0,0.0
7416,3369017,0,0,0,1,0.01141521001753626,0.06237114502490591,0.0017736322871633224,0.0,4.558002162226537e-06,0.0,0.0,0.0,0.0,0.11620179099556403
